"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.697411167E0,5.547463989E-1,7.682025146E-1,8.877439270E0,8.927866860E0
2.707421167E0,6.189628601E-1,6.221063232E-1,8.777896271E0,8.821654847E0
2.717461167E0,6.349795532E-1,5.463638306E-1,8.642427979E0,8.682930026E0
2.727471167E0,5.617817688E-1,5.120851135E-1,8.495733032E0,8.529672308E0
2.737511167E0,5.343887329E-1,5.650749207E-1,8.379873962E0,8.415887868E0
2.747521167E0,5.825885010E-1,6.767427063E-1,8.301137695E0,8.349028512E0
2.757561167E0,5.267546082E-1,8.372090149E-1,8.169112244E0,8.228777807E0
2.767601167E0,4.718188477E-1,1.007854156E0,7.937244415E0,8.014875666E0
2.777611167E0,4.385879517E-1,1.073268127E0,7.677534485E0,7.764586250E0
2.787652167E0,3.421884155E-1,1.041683807E0,7.563172302E0,7.642236148E0
2.797661167E0,2.570155334E-1,1.054557037E0,7.629334717E0,7.706159598E0
2.807702167E0,2.538720703E-1,1.064436493E0,7.693551178E0,7.770984867E0
2.817742167E0,4.035607910E-1,1.015787659E0,7.756270752E0,7.832906348E0
2.827752167E0,4.730163574E-1,8.719367981E-1,7.826774139E0,7.889386014E0
2.837792167E0,5.011578369E-1,8.000862122E-1,7.867639160E0,7.924079952E0
2.847802167E0,5.649252319E-1,7.659571838E-1,7.919880524E0,7.976862694E0
2.857842167E0,5.481600952E-1,7.059320068E-1,7.898475037E0,7.948882147E0
2.867852167E0,5.218148804E-1,6.057902527E-1,7.961344299E0,8.001392107E0
2.877892167E0,4.384382629E-1,5.269042969E-1,8.005951538E0,8.035242142E0
2.887932167E0,4.384382629E-1,6.409671021E-1,8.068521423E0,8.105806863E0
2.897942167E0,4.438270569E-1,7.940986633E-1,8.283923492E0,8.333724472E0
2.907982167E0,4.469705200E-1,8.593629456E-1,8.464448090E0,8.519692998E0
2.917992167E0,4.968168640E-1,8.879534912E-1,8.518934784E0,8.579483566E0
2.928032167E0,5.554948425E-1,8.672964478E-1,8.606053619E0,8.667464251E0
2.938042167E0,5.665718079E-1,7.716453552E-1,8.812923431E0,8.864765060E0
2.948082167E0,4.965174866E-1,6.477030945E-1,8.962761841E0,8.999841595E0
2.958123167E0,4.326004028E-1,5.950126648E-1,8.929980011E0,8.960230252E0
2.968149792E0,4.516108704E-1,6.047424316E-1,8.857979736E0,8.890077097E0
2.978190792E0,4.367916870E-1,6.315367126E-1,8.871152344E0,8.904323079E0
2.988200792E0,3.456312561E-1,7.057823181E-1,8.994495850E0,9.028762110E0
2.998240792E0,2.600093079E-1,7.815248108E-1,9.002728729E0,9.040326899E0
3.008280792E0,4.195774841E-1,7.147636414E-1,8.695118408E0,8.734530123E0
3.018290792E0,6.012995911E-1,5.580395508E-1,8.784183197E0,8.822405782E0
3.028330792E0,4.611909485E-1,5.399272156E-1,9.302255859E0,9.329318440E0
3.038340792E0,2.312690735E-1,5.917195129E-1,9.384285278E0,9.405765655E0
3.048380792E0,1.026864624E-1,6.204597473E-1,9.406289520E0,9.427290032E0
3.058390792E0,7.424560547E-2,5.378315735E-1,9.702373810E0,9.717552817E0
3.068430792E0,6.197113037E-2,3.469784546E-1,9.880503387E0,9.886788238E0
3.078471792E0,3.218307495E-2,2.137554932E-1,9.819729767E0,9.822108728E0
3.088480792E0,-5.867797852E-2,2.502795410E-1,9.947563934E0,9.950884945E0
3.098521792E0,-6.496490479E-2,2.568658447E-1,1.000699036E1,1.001049732E1
3.108530792E0,7.050338745E-2,1.589694214E-1,9.802365875E0,9.803908341E0
3.118571792E0,9.145980835E-2,6.765930176E-2,9.716893616E0,9.717559581E0
3.128580792E0,-6.765930176E-2,7.708969116E-2,9.780661011E0,9.781198823E0
3.138621792E0,-2.303709412E-1,1.471440125E-1,9.822723541E0,9.826526339E0
3.148661792E0,-3.429368591E-1,1.083746338E-1,9.890532532E0,9.897069491E0
3.158671792E0,-4.421804810E-1,2.170486450E-2,1.009740234E1,1.010710289E1
3.168711792E0,-5.041516113E-1,-1.212478638E-2,1.036489609E1,1.037715697E1
3.178721792E0,-4.785548401E-1,-3.173400879E-2,1.051204010E1,1.052297528E1
3.188761792E0,-1.986369324E-1,-2.240840149E-1,1.035426819E1,1.035859740E1
3.198801792E0,9.744735718E-2,-5.472619629E-1,1.034828064E1,1.036319950E1
3.208811792E0,-1.028361511E-1,-3.683839417E-1,1.097457825E1,1.098124081E1
