"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.366366250E0,-1.107696533E-2,-1.212478638E-1,9.758956146E0,9.759715611E0
2.376406250E0,1.496887207E-3,-1.442999268E-1,9.784253540E0,9.785317677E0
2.386446250E0,-1.122665405E-2,-1.567240906E-1,9.754615173E0,9.755880568E0
2.396456250E0,-7.185058594E-3,-1.230441284E-1,9.736652527E0,9.737432614E0
2.406496250E0,-1.556762695E-2,-7.768844604E-2,9.763147430E0,9.763468932E0
2.416506250E0,-5.089416504E-3,-7.694000244E-2,9.754315796E0,9.754620562E0
2.426547250E0,5.284011841E-2,-5.897735596E-2,9.768087158E0,9.768408117E0
2.436556250E0,3.712280273E-2,4.490661621E-4,9.743987274E0,9.744058000E0
2.446597250E0,4.326004028E-2,4.191284180E-2,9.749076691E0,9.749262764E0
2.456606250E0,1.167572021E-2,5.254074097E-2,9.759255524E0,9.759403938E0
2.466647250E0,-2.709365845E-2,4.655319214E-2,9.764943695E0,9.765092249E0
2.476687250E0,-6.451583862E-2,8.532257080E-3,9.762249298E0,9.762466207E0
2.486697250E0,-8.187973022E-2,-2.754272461E-2,9.764344940E0,9.764727083E0
2.496737250E0,-7.214996338E-2,-6.930587769E-2,9.752369843E0,9.752882982E0
2.506747250E0,-5.373825073E-2,-9.924362183E-2,9.748627625E0,9.749280879E0
2.516787250E0,-3.008743286E-2,-1.137634277E-1,9.757908325E0,9.758617845E0
2.526797250E0,-1.496887207E-3,-1.219963074E-1,9.747130737E0,9.747894283E0
2.536837250E0,2.395019531E-2,-1.203497314E-1,9.752220154E0,9.752992136E0
2.546877250E0,6.227050781E-2,-1.013392639E-1,9.761800232E0,9.762524829E0
2.556887250E0,7.095245361E-2,-7.125183105E-2,9.763746185E0,9.764263958E0
2.566927250E0,4.041595459E-2,-3.248245239E-2,9.762848053E0,9.762985745E0
2.576937250E0,-1.796264648E-3,-1.317260742E-2,9.744136963E0,9.744146032E0
2.586977250E0,-3.547622681E-2,-1.137634277E-2,9.777367859E0,9.777438838E0
2.596987250E0,-8.113128662E-2,-1.781295776E-2,9.757908325E0,9.758261857E0
2.607028250E0,-6.750961304E-2,-1.167572021E-2,9.766290894E0,9.766531200E0
2.617037250E0,-5.194198608E-2,-8.981323242E-4,9.735754395E0,9.735892995E0
2.627078250E0,-2.170486450E-2,-1.407073975E-2,9.753567352E0,9.753601652E0
2.637126625E0,-2.544708252E-3,-2.320175171E-2,9.767937469E0,9.767965356E0
2.647136625E0,-0.000000000E0,-2.125579834E-2,9.742939453E0,9.742962640E0
2.657176625E0,1.272354126E-2,-4.924758911E-2,9.749226379E0,9.749359067E0
2.667186625E0,1.691482544E-2,-7.244934082E-2,9.759105835E0,9.759389413E0
2.677226625E0,-2.544708252E-3,-8.891510010E-2,9.777517548E0,9.777922160E0
2.687236625E0,-2.544708252E-3,-9.924362183E-2,9.762548676E0,9.763053437E0
2.697276625E0,8.981323242E-4,-9.460327148E-2,9.760003967E0,9.760462490E0
2.707286625E0,8.681945801E-3,-6.541397095E-2,9.764045563E0,9.764268540E0
2.717326625E0,9.131011963E-3,-3.936813354E-2,9.764794006E0,9.764877634E0
2.727366625E0,8.382568359E-3,-2.035766602E-2,9.760453033E0,9.760477863E0
2.737376625E0,5.688171387E-3,-2.649490356E-2,9.754615173E0,9.754652814E0
2.747416625E0,-3.891906738E-3,-4.490661621E-2,9.764195251E0,9.764299292E0
2.757426625E0,-3.173400879E-2,-5.418731689E-2,9.769883423E0,9.770085230E0
2.767466625E0,-4.969665527E-2,-7.634124756E-2,9.753267975E0,9.753693348E0
2.777476625E0,-5.463638306E-2,-9.026229858E-2,9.755363617E0,9.755934180E0
2.787516625E0,-3.742218018E-2,-8.756790161E-2,9.759704590E0,9.760169171E0
2.797557625E0,-2.679428101E-2,-5.822891235E-2,9.754166107E0,9.754376709E0
2.807567625E0,1.137634277E-2,-2.619552612E-2,9.782008209E0,9.782049899E0
2.817607625E0,1.811233521E-2,3.592529297E-3,9.730814667E0,9.730832186E0
2.827617625E0,3.412902832E-2,1.152603149E-2,9.763147430E0,9.763213886E0
2.837657625E0,1.526824951E-2,-2.993774414E-3,9.784552917E0,9.784565288E0
2.847667625E0,2.993774414E-3,-5.433700562E-2,9.726024628E0,9.726176871E0
2.857707625E0,-2.739303589E-2,-7.065307617E-2,9.772428131E0,9.772721924E0
2.867717625E0,-4.475692749E-2,-1.071771240E-1,9.757010193E0,9.757701472E0
2.877757625E0,-5.852828979E-2,-1.127156067E-1,9.752220154E0,9.753047129E0
2.887797625E0,-5.478607178E-2,-9.460327148E-2,9.777966614E0,9.778577729E0
2.897807625E0,-4.146377563E-2,-8.502319336E-2,9.743538208E0,9.743997383E0
2.907847625E0,-2.050735474E-2,-6.885681152E-2,9.757908325E0,9.758172815E0
2.917857625E0,3.442840576E-3,-5.523513794E-2,9.766440582E0,9.766597382E0
2.927897625E0,1.691482544E-2,-2.918930054E-2,9.762249298E0,9.762307590E0
2.937907625E0,2.080673218E-2,-2.020797729E-2,9.781110077E0,9.781153082E0
2.947947625E0,2.574645996E-2,-1.930984497E-2,9.762398987E0,9.762452035E0
2.957988625E0,1.796264648E-3,-2.005828857E-2,9.756710815E0,9.756731599E0
2.967997625E0,-1.901046753E-2,-3.263214111E-2,9.763147430E0,9.763220473E0
2.978038625E0,-3.008743286E-2,-3.353027344E-2,9.753866730E0,9.753970767E0
2.988047625E0,-2.784210205E-2,-4.281097412E-2,9.769284668E0,9.769418145E0
2.998088625E0,-3.218307495E-2,-5.508544922E-2,9.761351166E0,9.761559647E0
3.008098625E0,-3.442840576E-2,-7.903564453E-2,9.746232605E0,9.746613870E0
3.018138625E0,-3.098556519E-2,-8.382568359E-2,9.755363617E0,9.755772965E0
3.028148625E0,-2.005828857E-2,-8.801696777E-2,9.766290894E0,9.766708101E0
3.038188625E0,-1.496887207E-2,-8.532257080E-2,9.764943695E0,9.765327920E0
3.048228625E0,-1.107696533E-2,-7.140151978E-2,9.767338715E0,9.767605973E0
3.058238625E0,-1.032852173E-2,-6.047424316E-2,9.764644318E0,9.764837042E0
3.068278625E0,-5.688171387E-3,-5.104385376E-2,9.747430115E0,9.747565423E0
3.078288625E0,-6.286926270E-3,-3.727249146E-2,9.767488403E0,9.767561542E0
3.088328625E0,-1.347198486E-3,-2.664459229E-2,9.762698364E0,9.762734817E0
3.098338625E0,-5.688171387E-3,-3.113525391E-2,9.739197235E0,9.739248664E0
3.108378625E0,-4.041595459E-3,-3.293151855E-2,9.752968597E0,9.753025032E0
