"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.807722250E0,-1.463183034E-2,1.273303202E-1,-8.202766478E-2,1.521697693E-1
2.817763250E0,1.092691573E-2,1.219540795E-1,-8.157158196E-2,1.471261975E-1
2.827772250E0,5.699830187E-2,1.338963597E-1,-7.842344105E-2,1.653096417E-1
2.837813250E0,6.018693474E-2,5.155401419E-2,-7.751887679E-2,1.108578358E-1
2.847823250E0,1.068555591E-2,-6.439272732E-2,-7.406609595E-2,9.872381175E-2
2.857863250E0,-3.835636424E-3,-8.740527593E-2,-8.917588592E-2,1.249269106E-1
2.867903250E0,-1.725791995E-3,-1.051253817E-1,-7.195583582E-2,1.274047352E-1
2.877913250E0,2.118236097E-2,-1.496746234E-1,-5.967668295E-2,1.625192044E-1
2.887953250E0,-6.058978506E-3,-8.356085041E-2,-7.629037678E-2,1.133108491E-1
2.897963250E0,-4.997807080E-3,-6.903225540E-2,-6.745757282E-2,9.664861350E-2
2.908003250E0,8.035124978E-3,-1.211649247E-1,-8.991205037E-2,1.510949337E-1
2.918013250E0,3.877311540E-3,-1.084365503E-1,-8.077928424E-2,1.352731006E-1
2.928053250E0,-3.661502687E-2,2.068509182E-2,-6.940118730E-2,8.114837038E-2
2.938094250E0,-6.616720653E-2,-1.495485703E-2,-8.077226758E-2,1.054794112E-1
