"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.536884458E0,3.287894112E-1,3.834789309E-1,3.848888773E-1,6.350574897E-1
2.546924458E0,1.818147122E-1,1.817181601E-1,4.451081818E-1,5.140032809E-1
2.556934458E0,-1.084930034E-1,-7.525341420E-2,2.714359367E-1,3.018464442E-1
2.566974458E0,-1.583539288E-1,-1.971643659E-1,-6.525083363E-2,2.611655132E-1
2.577014458E0,-6.289034922E-2,-1.577521407E-1,-4.592999589E-1,4.896911131E-1
2.587024458E0,1.182372786E-2,-1.946785318E-1,-6.610990655E-1,6.892688197E-1
2.597065458E0,-2.428714111E-3,-2.922300425E-1,-4.673603457E-1,5.512077550E-1
2.607074458E0,1.790808465E-1,-9.434065841E-2,1.061445057E-2,2.026888650E-1
2.617115458E0,4.348239162E-1,1.629637275E-1,2.217650092E-1,5.145956994E-1
2.627124458E0,2.074377228E-1,-1.193293375E-3,7.538698196E-2,2.207148157E-1
2.637165458E0,-1.061184125E-1,-2.605657252E-1,-3.463276595E-1,4.462045074E-1
2.647205458E0,-1.328015234E-1,-2.670238836E-1,-6.611294711E-1,7.252793782E-1
2.657215458E0,-3.420065671E-2,-1.624291641E-1,-4.554144841E-1,4.847218487E-1
2.667255458E0,2.852268141E-2,4.111939291E-2,2.171813768E-1,2.228723811E-1
2.677265458E0,3.171314154E-2,3.174834178E-1,3.143726259E-1,4.479191800E-1
2.687305458E0,1.014395802E-1,2.362141734E-1,1.151696831E-1,2.816934150E-1
2.697315458E0,6.106963590E-2,-1.399042641E-1,1.691950321E-1,2.278808075E-1
2.707355458E0,2.363751546E-2,-3.229263715E-1,-3.941023350E-3,3.238143067E-1
2.717395458E0,4.264082015E-4,-2.570150401E-1,-2.779012030E-1,3.785313611E-1
2.727405458E0,-4.940469649E-2,-1.311438560E-1,-2.826532352E-1,3.154875376E-1
2.737445458E0,-9.114928465E-2,2.218989104E-2,-4.739226758E-2,1.051028562E-1
2.747455458E0,-9.241816700E-3,1.787891070E-1,2.067025816E-1,2.734536766E-1
2.757495458E0,9.415471695E-2,2.079151480E-1,2.945979273E-1,3.726684294E-1
2.767505458E0,1.540848767E-1,2.913992811E-2,1.888323212E-1,2.454565749E-1
2.777545458E0,1.543753006E-1,-1.562635858E-1,2.596573055E-2,2.211882927E-1
2.787555458E0,9.921380103E-2,-1.714370739E-1,-1.356261671E-1,2.400593797E-1
2.797596458E0,4.315844491E-2,-1.475794107E-1,-2.412485164E-1,2.860824716E-1
2.807636458E0,3.485360797E-2,-8.795144241E-2,-1.291380966E-1,1.600839723E-1
2.817648750E0,1.279651451E-1,3.632071093E-3,3.358699143E-2,1.323493721E-1
2.827688750E0,2.191232371E-1,-1.277276751E-2,1.409769541E-1,2.608690059E-1
2.837698750E0,2.302080962E-1,-8.789936565E-3,1.282633531E-1,2.636750240E-1
